player_name,overall,club
Kevin De Bruyne,91,Manchester City
Alisson,90,Liverpool
Mohamed Salah,90,Liverpool
Sadio Mané,90,Liverpool
Virgil van Dijk,90,Liverpool
Harry Kane,89,Tottenham Hotspur
Sergio Agüero,89,Manchester City
N'Golo Kanté,88,Chelsea
Ederson,88,Manchester City
Raheem Sterling,88,Manchester City
Heung Min Son,88,Tottenham Hotspur
Trent Alexander-Arnold,87,Liverpool
Andrew Robertson,87,Liverpool
Aymeric Laporte,87,Manchester City
Bruno Fernandes,87,Manchester United
Fabinho,87,Liverpool
Jamie Vardy,87,Leicester City
Pierre-Emerick Aubameyang,87,Arsenal
Hugo Lloris,87,Tottenham Hotspur
Bernardo Silva,86,Manchester City
Roberto Firmino,86,Liverpool
Paul Pogba,86,Manchester United
De Gea,86,Manchester United
Jordan Henderson,86,Liverpool
Kai Havertz,85,Chelsea
Rodri,85,Manchester City
Marcus Rashford,85,Manchester United
Timo Werner,85,Chelsea
Ricardo Pereira,85,Leicester City
Hakim Ziyech,85,Chelsea
Riyad Mahrez,85,Manchester City
Bernd Leno,85,Arsenal
Thiago,85,Liverpool
Kyle Walker,85,Manchester City
Toby Alderweireld,85,Tottenham Hotspur
Georginio Wijnaldum,85,Liverpool
Thiago Silva,85,Chelsea
Fernandinho,85,Manchester City
Wilfred Ndidi,84,Leicester City
Alex Telles,84,Manchester United
Thomas Partey,84,Arsenal
Raúl Jiménez,84,Wolverhampton Wanderers
Lucas Digne,84,Everton
Edinson Cavani,84,Manchester United
Rui Patrício,84,Wolverhampton Wanderers
Kasper Schmeichel,84,Leicester City
Gabriel Jesus,83,Manchester City
Aaron Wan-Bissaka,83,Manchester United
Nélson Semedo,83,Wolverhampton Wanderers
Joe Gomez,83,Liverpool
Donny van de Beek,83,Manchester United
Martin Dúbravka,83,Newcastle United
Anthony Martial,83,Manchester United
João Cancelo,83,Manchester City
Mateo Kovačić,83,Chelsea
Jorginho,83,Chelsea
Allan,83,Everton
Wilfried Zaha,83,Crystal Palace
Joel Matip,83,Liverpool
İlkay Gündoğan,83,Manchester City
Azpilicueta,83,Chelsea
Gareth Bale,83,Tottenham Hotspur
João Moutinho,83,Wolverhampton Wanderers
Reguilón,82,Tottenham Hotspur
Giovani Lo Celso,82,Tottenham Hotspur
Steven Bergwijn,82,Tottenham Hotspur
Rúben Neves,82,Wolverhampton Wanderers
Youri Tielemans,82,Leicester City
Pierre-Emile Højbjerg,82,Tottenham Hotspur
Dele Alli,82,Tottenham Hotspur
Nick Pope,82,Burnley
Lucas Moura,82,Tottenham Hotspur
James Rodríguez,82,Everton
Rodrigo,82,Leeds United
Alexandre Lacazette,82,Arsenal
Alphonse Areola,82,Fulham
Rúben Dias,81,Manchester City
Tomáš Souček,81,West Ham United
Raphinha,81,Leeds United
Richarlison,81,Everton
Ben Chilwell,81,Chelsea
Christian Pulisic,81,Chelsea
Nicolas Pépé,81,Arsenal
Dominic Calvert-Lewin,81,Everton
Naby Keïta,81,Liverpool
James Maddison,81,Leicester City
Jonny,81,Wolverhampton Wanderers
Fred,81,Manchester United
Jack Grealish,81,Aston Villa
Antonio Rüdiger,81,Chelsea
Kurt Zouma,81,Chelsea
Harry Maguire,81,Manchester United
Matt Doherty,81,Tottenham Hotspur
Danny Ings,81,Southampton
Willian,81,Arsenal
Mesut Özil,81,Arsenal
Łukasz Fabiański,81,West Ham United
Ferran Torres,80,Manchester City
Tanguy Ndombele,80,Tottenham Hotspur
Harvey Barnes,80,Leicester City
Édouard Mendy,80,Chelsea
Dean Henderson,80,Manchester United
Mason Mount,80,Chelsea
Çağlar Söyüncü,80,Leicester City
Diogo Jota,80,Liverpool
Davinson Sánchez,80,Tottenham Hotspur
Allan Saint-Maximin,80,Newcastle United
Kepa,80,Chelsea
Luke Shaw,80,Manchester United
Ben Davies,80,Tottenham Hotspur
Sébastien Haller,80,West Ham United
James Ward-Prowse,80,Southampton
Jordan Pickford,80,Everton
Benjamin Mendy,80,Manchester City
John Stones,80,Manchester City
Willy Boly,80,Wolverhampton Wanderers
James Tarkowski,80,Burnley
Eric Dier,80,Tottenham Hotspur
Serge Aurier,80,Tottenham Hotspur
Xherdan Shaqiri,80,Liverpool
Nemanja Matić,80,Manchester United
Guaita,80,Crystal Palace
David Luiz,80,Arsenal
Sergio Romero,80,Manchester United
Erik Lamela,80,Tottenham Hotspur
Jonny Evans,80,Leicester City
Vinícius,79,Tottenham Hotspur
Phil Foden,79,Manchester City
Scott McTominay,79,Manchester United
Declan Rice,79,West Ham United
Gabriel,79,Arsenal
Sander Berge,79,Sheffield United
Oleksandr Zinchenko,79,Manchester City
Pablo Fornals,79,West Ham United
Eric Bailly,79,Manchester United
Dani Ceballos,79,Arsenal
Harry Winks,79,Tottenham Hotspur
Victor Lindelöf,79,Manchester United
Adama Traoré,79,Wolverhampton Wanderers
Andreas Christensen,79,Chelsea
André Gomes,79,Everton
Emerson,79,Chelsea
Nathan Aké,79,Manchester City
Romain Saïss,79,Wolverhampton Wanderers
Ryan Fraser,79,Newcastle United
Michael Keane,79,Everton
Héctor Bellerín,79,Arsenal
Conor Coady,79,Wolverhampton Wanderers
Granit Xhaka,79,Arsenal
Mathew Ryan,79,Brighton & Hove Albion
Alex Oxlade-Chamberlain,79,Liverpool
Callum Wilson,79,Newcastle United
Marcos Alonso,79,Chelsea
Michail Antonio,79,West Ham United
Ben Mee,79,Burnley
Moussa Sissoko,79,Tottenham Hotspur
Séamus Coleman,79,Everton
Olivier Giroud,79,Chelsea
Juan Mata,79,Manchester United
James Milner,79,Liverpool
Vladimír Coufal,78,West Ham United
Dwight McNeil,78,Burnley
Reece James,78,Chelsea
Cengiz Ünder,78,Leicester City
Tammy Abraham,78,Chelsea
Miguel Almirón,78,Newcastle United
Daniel Podence,78,Wolverhampton Wanderers
Kieran Tierney,78,Arsenal
Kalvin Phillips,78,Leeds United
Yerry Mina,78,Everton
Ayoze Pérez,78,Leicester City
Leander Dendoncker,78,Wolverhampton Wanderers
Jack O'Connell,78,Sheffield United
Fabian Schär,78,Newcastle United
Abdoulaye Doucouré,78,Everton
Robin Olsen,78,Everton
Leandro Trossard,78,Brighton & Hove Albion
Luka Milivojević,78,Crystal Palace
John Egan,78,Sheffield United
Jannik Vestergaard,78,Southampton
Emiliano Martínez,78,Aston Villa
Lewis Dunk,78,Brighton & Hove Albion
Ross Barkley,78,Aston Villa
Nathan Redmond,78,Southampton
Andros Townsend,78,Crystal Palace
Enda Stevens,78,Sheffield United
Shkodran Mustafi,78,Arsenal
Chris Wood,78,Burnley
Aaron Cresswell,78,West Ham United
Ashley Westwood,78,Burnley
Manuel Lanzini,78,West Ham United
Cheikhou Kouyaté,78,Crystal Palace
Gylfi Sigurðsson,78,Everton
Branislav Ivanović,78,West Bromwich Albion
Sokratis,78,Arsenal
Ryan Bertrand,78,Southampton
Mason Greenwood,77,Manchester United
Daniel James,77,Manchester United
Issa Diop,77,West Ham United
Mason Holgate,77,Everton
Jarrod Bowen,77,West Ham United
Timothy Castagne,77,Leicester City
Saïd Benrahma,77,West Ham United
Jan Bednarek,77,Southampton
Kenny Tete,77,Fulham
Aleksandar Mitrović,77,Fulham
Jean-Philippe Gbamin,77,Everton
Ruben Loftus-Cheek,77,Fulham
Divock Origi,77,Liverpool
Mohamed Elneny,77,Arsenal
Arthur Masuaku,77,West Ham United
Neal Maupay,77,Brighton & Hove Albion
John McGinn,77,Aston Villa
Joël Veltman,77,Brighton & Hove Albion
Sead Kolašinac,77,Arsenal
Jesse Lingard,77,Manchester United
Isaac Hayden,77,Newcastle United
Bernard,77,Everton
Michy Batshuayi,77,Crystal Palace
Jamaal Lascelles,77,Newcastle United
Stuart Armstrong,77,Southampton
Federico Fernández,77,Newcastle United
George Baldock,77,Sheffield United
Dennis Praet,77,Leicester City
Oriol Romeu,77,Southampton
Jordan Ayew,77,Crystal Palace
Andriy Yarmolenko,77,West Ham United
Alex McCarthy,77,Southampton
John Fleck,77,Sheffield United
Jonjo Shelvey,77,Newcastle United
Matt Ritchie,77,Newcastle United
Patrick van Aanholt,77,Crystal Palace
Chris Basham,77,Sheffield United
Angelo Ogbonna,77,West Ham United
Adam Lallana,77,Brighton & Hove Albion
Jack Cork,77,Burnley
Danny Rose,77,Tottenham Hotspur
Gary Cahill,77,Crystal Palace
Tom Heaton,77,Aston Villa
Robert Snodgrass,77,West Ham United
Bukayo Saka,76,Arsenal
Mohammed Salisu,76,Southampton
Pedro Neto,76,Wolverhampton Wanderers
Robin Koch,76,Leeds United
Douglas Luiz,76,Aston Villa
Zack Steffen,76,Manchester City
Fikayo Tomori,76,Chelsea
Wesley,76,Aston Villa
Konstantinos Tsimikas,76,Liverpool
Ben White,76,Brighton & Hove Albion
Matheus Pereira,76,West Bromwich Albion
Rob Holding,76,Arsenal
Kyle Walker-Peters,76,Southampton
André-Franck Zambo Anguissa,76,Fulham
Frédéric Guilbert,76,Aston Villa
Takumi Minamino,76,Liverpool
Ainsley Maitland-Niles,76,Arsenal
Jonjoe Kenny,76,Everton
Joachim Andersen,76,Fulham
Ollie Watkins,76,Aston Villa
Matt Targett,76,Aston Villa
Islam Slimani,76,Leicester City
Alex Iwobi,76,Everton
Mario Lemina,76,Fulham
Diego Llorente,76,Leeds United
Max Meyer,76,Crystal Palace
Manquillo,76,Newcastle United
Bertrand Traoré,76,Aston Villa
Marçal,76,Wolverhampton Wanderers
Ryan Fredericks,76,West Ham United
Paulo Gazzaniga,76,Tottenham Hotspur
Charlie Taylor,76,Burnley
Cédric,76,Arsenal
Nampalys Mendy,76,Leicester City
Tom Cairney,76,Fulham
Davy Pröpper,76,Brighton & Hove Albion
Jóhann Berg Guðmundsson,76,Burnley
Pascal Groß,76,Brighton & Hove Albion
Nathaniel Clyne,76,Crystal Palace
James McCarthy,76,Crystal Palace
Ashley Barnes,76,Burnley
Joel Ward,76,Crystal Palace
Oliver Norwood,76,Sheffield United
Odion Ighalo,76,Manchester United
Fabian Delph,76,Everton
Mamadou Sakho,76,Crystal Palace
Marc Albrighton,76,Leicester City
Ciaran Clark,76,Newcastle United
Dale Stephens,76,Burnley
James Tomkins,76,Crystal Palace
Theo Walcott,76,Southampton
Joe Hart,76,Tottenham Hotspur
Brandon Williams,75,Manchester United
Alexis Mac Allister,75,Brighton & Hove Albion
Moussa Djenepo,75,Southampton
Yves Bissouma,75,Brighton & Hove Albion
Eberechi Eze,75,Crystal Palace
Gedson Fernandes,75,Tottenham Hotspur
Aaron Ramsdale,75,Sheffield United
Ademola Lookman,75,Fulham
Tom Davies,75,Everton
Fabián Balbuena,75,West Ham United
Matty Cash,75,Aston Villa
Che Adams,75,Southampton
Trezeguet,75,Aston Villa
Joelinton,75,Newcastle United
Jean Michaël Seri,75,Fulham
Anwar El Ghazi,75,Aston Villa
Tyrone Mings,75,Aston Villa
Abdul Rahman Baba,75,Chelsea
Adam Webster,75,Brighton & Hove Albion
Pablo Marí,75,Arsenal
Solly March,75,Brighton & Hove Albion
Sam Johnstone,75,West Bromwich Albion
Calum Chambers,75,Arsenal
Paul Dummett,75,Newcastle United
Jack Stephens,75,Southampton
Robbie Brady,75,Burnley
Marcos Rojo,75,Manchester United
Jeffrey Schlupp,75,Crystal Palace
John Lundstram,75,Sheffield United
Jeff Hendrick,75,Newcastle United
Matthew Lowton,75,Burnley
Dan Burn,75,Brighton & Hove Albion
Phil Jones,75,Manchester United
Conor Hourihane,75,Aston Villa
Karl Darlow,75,Newcastle United
Cenk Tosun,75,Everton
Mateusz Klich,75,Leeds United
Luke Ayling,75,Leeds United
Pablo Hernández,75,Leeds United
Fraser Forster,75,Southampton
James McArthur,75,Crystal Palace
Wayne Hennessey,75,Crystal Palace
Jay Rodriguez,75,Burnley
Darren Randolph,75,West Ham United
Mark Noble,75,West Ham United
Willy Caballero,75,Chelsea
Gabriel Martinelli,74,Arsenal
William Saliba,74,Arsenal
Callum Hudson-Odoi,74,Chelsea
Eddie Nketiah,74,Arsenal
Bernardo,74,Brighton & Hove Albion
Jack Harrison,74,Leeds United
James Justin,74,Leicester City
Grady Diangana,74,West Bromwich Albion
Jamal Lewis,74,Newcastle United
Hamza Choudhury,74,Leicester City
Ezri Konsa,74,Aston Villa
Kelechi Iheanacho,74,Leicester City
Florin Andone,74,Brighton & Hove Albion
Ola Aina,74,Fulham
Marvelous Nakamba,74,Aston Villa
Marek Rodák,74,Fulham
Hélder Costa,74,Leeds United
Lovre Kalinić,74,Aston Villa
Demarai Gray,74,Leicester City
Oliver McBurnie,74,Sheffield United
Alireza Jahanbakhsh,74,Brighton & Hove Albion
DeAndre Yedlin,74,Newcastle United
Ivan Cavaleiro,74,Fulham
Ben Osborn,74,Sheffield United
Björn Engels,74,Aston Villa
Danny Ward,74,Leicester City
Emil Krafth,74,Newcastle United
Patrick Bamford,74,Leeds United
Dwight Gayle,74,Newcastle United
Stuart Dallas,74,Leeds United
Joe Bryan,74,Fulham
Adrián,74,Liverpool
Craig Dawson,74,West Ham United
Liam Cooper,74,Leeds United
Yannick Bolasie,74,Everton
Jake Livermore,74,West Bromwich Albion
Matt Phillips,74,West Bromwich Albion
Kieran Gibbs,74,West Bromwich Albion
Martin Kelly,74,Crystal Palace
Andy Carroll,74,Newcastle United
David McGoldrick,74,Sheffield United
Shane Long,74,Southampton
Wesley Fofana,73,Leicester City
Eric García,73,Manchester City
Jayden Bogle,73,Sheffield United
Rayan Aït Nouri,73,Wolverhampton Wanderers
Sean Longstaff,73,Newcastle United
Timothy Fosu-Mensah,73,Manchester United
Axel Tuanzebe,73,Manchester United
Antonee Robinson,73,Fulham
Karlan Grant,73,West Bromwich Albion
Lys Mousset,73,Sheffield United
Josh Brownhill,73,Burnley
José Izquierdo,73,Brighton & Hove Albion
Daniel Amartey,73,Leicester City
Semi Ajayi,73,West Bromwich Albion
Harrison Reed,73,Fulham
Charly Musonda,73,Chelsea
Jack Butland,73,Crystal Palace
Matěj Vydra,73,Burnley
Romaine Sawyers,73,West Bromwich Albion
Danny Welbeck,73,Brighton & Hove Albion
Danny Drinkwater,73,Chelsea
Erik Pieters,73,Burnley
Kamil Grosicki,73,West Bromwich Albion
Fabricio,73,Fulham
Phil Bardsley,73,Burnley
Billy Sharp,73,Sheffield United
Scott Dann,73,Crystal Palace
Christian Fuchs,73,Leicester City
Wes Morgan,73,Leicester City
Matthew Longstaff,72,Newcastle United
Illan Meslier,72,Leeds United
Ibrahima Diallo,72,Southampton
Japhet Tanganga,72,Tottenham Hotspur
Reiss Nelson,72,Arsenal
Filip Krovinović,72,West Bromwich Albion
Ben Godfrey,72,Everton
Jaïro Riedewald,72,Crystal Palace
Max Lowe,72,Sheffield United
Kortney Hause,72,Aston Villa
Christian Walton,72,Brighton & Hove Albion
Callum Robinson,72,West Bromwich Albion
Jacob Murphy,72,Newcastle United
Ezgjan Alioski,72,Leeds United
Christian Atsu,72,Newcastle United
Conor Townsend,72,West Bromwich Albion
Bobby Decordova-Reid,72,Fulham
Michael Hector,72,Fulham
Charlie Austin,72,West Bromwich Albion
Stefan Johansen,72,Fulham
Kyle Bartley,72,West Bromwich Albion
Kiko Casilla,72,Leeds United
Jonas Lössl,72,Everton
Facundo Pellistri,71,Manchester United
Billy Gilmour,71,Chelsea
Tariq Lamptey,71,Brighton & Hove Albion
Conor Gallagher,71,West Bromwich Albion
Joseph Willock,71,Arsenal
Yan Valery,71,Southampton
Aboubakar Kamara,71,Fulham
Darnell Furlong,71,West Bromwich Albion
Tosin Adarabioyo,71,Fulham
Terence Kongolo,71,Fulham
Mark Gillespie,71,Newcastle United
Kevin Long,71,Burnley
Wes Foderingham,71,Sheffield United
Ahmed Elmohamady,71,Aston Villa
Denis Odoi,71,Fulham
Christian Benteke,71,Crystal Palace
Phil Jagielka,71,Sheffield United
Rhian Brewster,70,Sheffield United
Aaron Connolly,70,Brighton & Hove Albion
Joe Rodon,70,Tottenham Hotspur
Tyler Roberts,70,Leeds United
Rúnar Alex Rúnarsson,70,Arsenal
Neeskens Kebano,70,Fulham
Muhamed Bešić,70,Everton
Jack Robinson,70,Sheffield United
Tim Ream,70,Fulham
Adam Forshaw,70,Leeds United
Maxime Le Marchand,70,Fulham
Jed Steer,70,Aston Villa
Hal Robson-Kanu,70,West Bromwich Albion
Gaetano Berardi,70,Leeds United
Kevin McDonald,70,Fulham
John Ruddy,70,Wolverhampton Wanderers
Scott Carson,70,Manchester City
Fábio Silva,69,Wolverhampton Wanderers
Nathan Ferguson,69,Crystal Palace
Michael Obafemi,69,Southampton
Emile Smith Rowe,69,Arsenal
Dara O'Shea,69,West Bromwich Albion
Philippe Sandler,69,Manchester City
Michael Verrips,69,Sheffield United
Bailey Peacock-Farrell,69,Burnley
Roderick Miranda,69,Wolverhampton Wanderers
Connor Wickham,69,Crystal Palace
Henri Lansbury,69,Aston Villa
Neil Taylor,69,Aston Villa
Lee Peltier,69,West Bromwich Albion
Lee Grant,69,Manchester United
Neco Williams,68,Liverpool
Curtis Jones,68,Liverpool
Nathaniel Phillips,68,Liverpool
Steven Alzate,68,Brighton & Hove Albion
Cédric Kipré,68,West Bromwich Albion
Jimmy Dunne,68,Burnley
Keinan Davis,68,Aston Villa
Kyle Edwards,68,West Bromwich Albion
Josh Onomah,68,Fulham
David Button,68,West Bromwich Albion
Rodrigo Vilca,67,Newcastle United
Crysencio Summerville,67,Leeds United
Max Kilman,67,Wolverhampton Wanderers
Jack Clarke,67,Tottenham Hotspur
Tyrick Mitchell,67,Crystal Palace
Rekeem Harper,67,West Bromwich Albion
Dujon Sterling,67,Chelsea
Beni Baningime,67,Everton
Will Smallbone,67,Southampton
Jayson Molumby,67,Brighton & Hove Albion
Ethan Ampadu,67,Sheffield United
Sam Field,67,West Bromwich Albion
Oliver Burke,67,Sheffield United
Matthew Pennington,67,Everton
Simon Moore,67,Sheffield United
Jason Steele,67,Brighton & Hove Albion
Jack Rodwell,67,Sheffield United
Vítor Ferreira,66,Wolverhampton Wanderers
Ethan Laird,66,Manchester United
Gonçalo Cardoso,66,West Ham United
Ian Poveda,66,Leeds United
Anthony Gordon,66,Everton
Andi Zeqiri,66,Brighton & Hove Albion
Achraf Lazaar,66,Newcastle United
David Martin,66,West Ham United
Eldin Jakupović,66,Leicester City
Jamie Shackleton,65,Leeds United
Claudio Gomes,65,Manchester City
Sepp van den Berg,65,Liverpool
Will Norris,65,Burnley
Sam McQueen,65,Southampton
Matt Macey,65,Arsenal
Henri Saivet,65,Newcastle United
Stephen Henderson,65,Crystal Palace
Luke Thomas,64,Leicester City
Teden Mengi,64,Manchester United
Leif Davis,64,Leeds United
Liam Millar,64,Liverpool
Caoimhin Kelleher,64,Liverpool
Pascal Struijk,64,Leeds United
João Virgínia,64,Everton
Nathan Holland,64,West Ham United
Robert Sanchez,64,Brighton & Hove Albion
Jonathan Bond,64,West Bromwich Albion
Jayden Braaf,63,Manchester City
Liam Delap,63,Manchester City
Ellis Simms,63,Everton
Kyle John,63,Everton
Jarrad Branthwaite,63,Everton
Ki-Jana Hoever,63,Wolverhampton Wanderers
Ethan Galbraith,63,Manchester United
George Marsh,63,Tottenham Hotspur
Brandon Austin,63,Tottenham Hotspur
Jake Vokins,63,Southampton
Jay-Roy Grot,63,Leeds United
Kean Bryan,63,Sheffield United
Josh Benson,62,Burnley
Felix Nmecha,62,Manchester City
Kayne Ramsay,62,Southampton
Joe Gelhardt,62,Leeds United
Luke Matheson,62,Wolverhampton Wanderers
Meritan Shabani,62,Wolverhampton Wanderers
Ben Johnson,62,West Ham United
Nathan Tella,62,Southampton
Max Thompson,61,Burnley
Dennis Cirkin,61,Tottenham Hotspur
Sylvester Jasper,61,Fulham
Brandon Pierrick,61,Crystal Palace
Niels Nkounkou,61,Everton
Cody Drameh,61,Leeds United
Adrián Bernabé,61,Manchester City
Taylor Harwood-Bellis,61,Manchester City
Yasser Larouci,61,Liverpool
David Boateng,61,Crystal Palace
Anthony Glennon,61,Burnley
Stephen Mallon,61,Sheffield United
Nathan Trott,61,West Ham United
Ouasim Bouy,61,Leeds United
Elia Caprile,60,Leeds United
Elliot Anderson,60,Newcastle United
Tommy Doyle,60,Manchester City
Mace Goodridge,60,Burnley
Romaric Yapi,60,Brighton & Hove Albion
Rhys Williams,60,Liverpool
Folarin Balogun,60,Arsenal
Oliver Casey,60,Leeds United
Sidnei Tavares,60,Leicester City
Jamie Bowden,60,Tottenham Hotspur
Harvey White,60,Tottenham Hotspur
Callum Wright,60,Leicester City
Will Ferry,60,Southampton
Max Sanders,60,Brighton & Hove Albion
Martell Taylor-Crossdale,60,Fulham
Nya Kirby,60,Crystal Palace
Dan N'Lundulu,60,Southampton
Layton Ndukwu,60,Leicester City
Admiral Muskwe,60,Leicester City
Callum Slattery,60,Southampton
