name,full_name,season,team_id
ARS,Arsenal,2021,1
AVL,Aston Villa,2021,2
BHA,Brighton and Hove Albion,2021,3
BUR,Burnley,2021,4
CHE,Chelsea,2021,5
CRY,Crystal Palace,2021,6
EVE,Everton,2021,7
FUL,Fulham,2021,8
LEI,Leicester City,2021,9
LEE,Leeds United,2021,10
LIV,Liverpool,2021,11
MCI,Manchester City,2021,12
MUN,Manchester United,2021,13
NEW,Newcastle United,2021,14
SHU,Sheffield United,2021,15
SOU,Southampton,2021,16
TOT,Tottenham Hotspur,2021,17
WBA,West Bromwich Albion,2021,18
WHU,West Ham United,2021,19
WOL,Wolverhampton Wanderers,2021,20
