id,datetime,h_id,a_id,h_goals,a_goals,h_p_1,h_p_2,h_p_3,h_p_4,h_p_5,h_p_6,h_p_7,h_p_8,h_p_9,h_p_10,h_p_11,a_p_1,a_p_2,a_p_3,a_p_4,a_p_5,a_p_6,a_p_7,a_p_8,a_p_9,a_p_10,a_p_11
81,2015-08-08 15:45:00,89,82,1,0,560,557,628,548,1006,654,551,554,555,631,629,651,638,640,639,660,643,914,642,646,648,647
82,2015-08-08 18:00:00,73,71,0,1,455,456,458,457,459,461,460,462,466,465,468,662,674,875,665,961,668,669,677,672,890,679
83,2015-08-08 18:00:00,72,90,2,2,600,585,586,587,909,590,589,595,592,596,594,564,565,566,581,568,577,572,570,1016,582,574
84,2015-08-08 18:00:00,75,77,4,2,745,955,748,747,757,753,752,784,750,754,755,580,742,736,927,730,738,929,740,733,781,735
85,2015-08-08 18:00:00,79,78,1,3,785,926,788,821,789,791,792,793,801,1011,467,635,510,511,512,513,522,516,633,514,632,882
86,2015-08-08 20:30:00,80,84,2,2,680,682,699,917,681,686,697,700,692,701,802,706,718,708,709,710,723,769,713,714,715,717
87,2015-08-09 16:30:00,86,74,2,2,982,764,849,941,943,767,768,772,771,851,850,846,847,845,834,884,883,836,840,838,844,841
88,2015-08-09 16:30:00,83,81,0,2,491,967,507,494,495,504,497,966,499,965,502,527,530,528,529,534,543,532,533,939,656,536
89,2015-08-09 19:00:00,85,87,0,1,856,944,859,860,887,946,862,863,873,864,868,487,603,602,607,987,605,489,481,488,486,606
90,2015-08-10 23:00:00,76,88,0,3,820,819,804,664,904,812,809,990,814,816,811,609,625,612,626,621,878,614,616,617,618,622
91,2015-08-14 22:45:00,71,89,0,1,662,674,665,875,961,668,669,677,672,890,679,560,557,548,628,1006,551,654,554,323,555,629
92,2015-08-15 15:45:00,74,72,0,3,846,847,834,845,884,883,836,840,838,839,841,600,585,587,586,909,590,589,601,592,596,594
93,2015-08-15 18:00:00,77,79,1,3,580,742,927,736,730,740,732,738,781,735,930,785,926,821,788,789,791,801,790,793,792,794
94,2015-08-15 18:00:00,84,86,2,0,706,718,709,708,710,769,712,713,714,715,717,982,764,941,849,943,767,768,772,771,851,850
95,2015-08-15 18:00:00,82,85,2,2,637,638,640,639,660,643,649,642,648,646,647,856,944,860,859,887,862,946,863,864,865,868
96,2015-08-15 18:00:00,90,76,0,0,564,565,581,566,577,570,572,1016,573,582,574,820,804,805,806,904,990,809,808,812,816,811
97,2015-08-15 18:00:00,81,75,1,2,527,938,529,528,534,533,543,532,939,656,536,745,955,747,748,757,750,752,784,753,754,755
98,2015-08-16 16:30:00,78,83,1,2,635,510,512,511,513,522,516,514,633,518,519,491,492,494,507,495,965,497,504,499,498,502
99,2015-08-16 19:00:00,88,80,3,0,609,625,626,612,621,878,614,616,617,618,619,694,682,917,699,681,686,697,936,700,701,802
100,2015-08-17 23:00:00,87,73,1,0,487,603,607,602,987,489,605,488,486,481,606,455,456,458,457,459,461,460,472,464,465,468
101,2015-08-22 15:45:00,89,86,0,0,560,557,628,548,1006,907,551,554,323,555,629,982,849,941,765,943,767,768,851,771,770,773
102,2015-08-22 18:00:00,79,85,1,1,785,926,788,821,789,790,791,801,792,793,794,856,944,860,859,887,862,946,888,864,865,868
103,2015-08-22 18:00:00,77,84,1,1,580,742,927,729,730,738,781,732,733,735,932,706,718,708,709,710,712,769,713,714,715,717
104,2015-08-22 18:00:00,78,71,2,1,635,510,512,511,513,633,516,522,514,520,882,662,674,875,665,961,668,669,667,675,671,890
105,2015-08-22 18:00:00,75,82,1,1,745,955,748,747,757,750,752,784,753,754,755,637,638,640,639,660,643,649,642,644,648,647
106,2015-08-22 18:00:00,81,73,3,4,540,938,529,528,534,542,533,532,1028,656,536,455,456,458,457,459,461,460,472,464,465,468
107,2015-08-23 16:30:00,76,80,2,3,820,804,806,805,904,808,880,809,990,814,813,680,682,935,917,681,686,697,687,700,701,802
108,2015-08-23 19:00:00,72,88,0,2,600,585,586,587,909,590,589,596,592,601,594,609,625,612,626,621,878,614,616,617,618,619
109,2015-08-23 19:00:00,90,74,0,0,564,565,581,566,568,570,572,577,573,582,574,846,834,953,845,847,836,842,884,883,838,841
110,2015-08-24 23:00:00,83,87,0,0,491,492,508,493,495,965,497,504,499,498,502,487,603,602,607,987,489,475,604,482,606,488
111,2015-08-29 15:45:00,86,83,0,1,982,764,849,941,943,767,768,772,771,942,773,491,492,493,494,495,965,497,966,504,498,503
112,2015-08-29 18:00:00,85,76,0,1,856,944,859,860,887,946,862,888,873,864,868,820,804,805,806,664,812,808,990,809,814,813
113,2015-08-29 18:00:00,71,77,2,2,662,663,665,875,961,668,669,667,674,671,679,580,742,729,736,730,733,738,732,781,932,735
114,2015-08-29 18:00:00,73,75,1,1,455,456,458,457,459,461,460,472,464,975,468,745,955,747,748,757,784,750,751,752,753,755
115,2015-08-29 18:00:00,80,78,1,2,680,682,699,935,681,686,697,687,700,701,802,635,510,511,512,513,633,516,514,520,522,519
116,2015-08-29 18:00:00,87,81,0,3,487,603,607,602,987,604,489,475,482,606,488,540,530,528,529,534,542,533,532,535,656,536
117,2015-08-29 18:00:00,88,90,2,0,609,625,626,612,621,878,614,616,617,618,619,564,565,566,581,568,570,572,574,569,582,573
118,2015-08-29 20:30:00,82,72,0,0,637,638,639,640,641,643,914,642,649,648,647,600,585,587,586,598,589,590,601,592,596,594
119,2015-08-30 16:30:00,74,79,3,0,846,847,834,845,884,843,842,838,883,840,841,785,926,821,788,789,790,791,801,792,793,794
120,2015-08-30 19:00:00,84,89,2,1,706,718,709,708,710,769,712,713,714,719,717,560,557,548,628,1006,907,551,554,552,555,629
121,2015-09-12 15:45:00,72,80,3,1,600,585,586,587,909,589,590,908,592,594,601,694,682,935,917,681,697,685,687,686,701,802
122,2015-09-12 18:00:00,83,85,2,0,491,492,494,493,495,965,497,504,499,498,503,856,857,860,859,887,946,862,888,868,865,866
123,2015-09-12 18:00:00,78,88,0,1,635,525,512,933,513,633,516,520,514,522,518,609,625,612,626,621,616,614,878,877,619,622
124,2015-09-12 18:00:00,90,84,1,0,564,565,581,566,577,569,572,570,582,573,574,706,718,708,709,710,769,712,713,714,719,717
125,2015-09-12 18:00:00,76,74,0,0,820,804,807,806,904,880,808,809,812,813,816,846,847,833,834,884,836,840,843,883,844,841
126,2015-09-12 18:00:00,79,73,3,1,785,894,788,821,789,790,791,792,800,793,794,455,456,458,457,825,461,460,472,463,465,468
127,2015-09-12 20:30:00,89,87,3,1,546,557,628,548,1006,654,907,554,552,555,630,487,603,602,607,987,604,489,475,482,606,986
128,2015-09-13 16:30:00,77,82,0,1,580,742,729,736,730,931,732,781,739,737,735,637,638,639,640,660,649,643,453,645,648,647
129,2015-09-13 19:00:00,75,71,3,2,745,955,748,747,757,750,761,752,753,754,755,662,674,665,664,961,669,667,670,675,679,890
130,2015-09-14 23:00:00,81,86,2,0,540,530,529,528,534,533,532,535,536,541,656,982,764,941,849,943,767,768,772,771,942,850
131,2015-09-19 15:45:00,80,83,2,0,694,682,699,935,681,686,697,687,692,701,802,491,492,493,494,495,965,497,504,499,498,503
132,2015-09-19 18:00:00,86,90,1,2,982,764,849,941,943,767,942,772,771,770,850,564,565,566,581,577,569,572,571,582,573,574
133,2015-09-19 18:00:00,71,76,0,1,662,663,664,665,961,670,667,669,675,679,890,820,804,806,807,904,990,809,808,814,813,811
134,2015-09-19 18:00:00,73,77,2,0,455,456,458,828,459,461,460,462,466,975,468,580,742,736,927,730,931,732,781,739,737,735
135,2015-09-19 18:00:00,85,75,2,2,856,944,859,945,887,946,862,888,871,865,863,745,955,747,748,757,750,761,752,751,754,755
136,2015-09-19 18:00:00,84,72,0,0,706,718,709,708,710,769,712,713,714,715,717,600,977,587,586,909,590,589,601,592,824,594
137,2015-09-19 20:30:00,88,81,1,2,609,625,626,611,621,878,614,616,447,618,619,527,938,529,530,534,542,541,535,533,536,656
138,2015-09-20 16:30:00,82,78,1,0,637,638,640,639,660,643,645,644,453,648,647,635,525,511,933,513,633,516,522,514,520,518
139,2015-09-20 19:00:00,74,89,2,3,846,845,834,833,884,842,836,843,838,840,841,546,557,548,628,550,654,551,554,629,555,553
140,2015-09-20 19:00:00,87,79,1,1,487,607,485,604,603,489,475,608,488,606,483,785,926,821,788,789,791,790,792,801,800,794
141,2015-09-26 15:45:00,82,88,4,1,637,638,640,639,660,643,645,644,453,646,647,624,625,623,611,621,614,615,447,878,618,619
142,2015-09-26 18:00:00,74,84,3,1,846,847,834,833,835,843,836,838,883,840,841,706,718,708,709,710,769,723,712,714,713,717
143,2015-09-26 18:00:00,85,73,2,1,856,944,859,858,887,873,862,888,871,865,863,455,456,828,458,459,461,460,462,466,975,468
144,2015-09-26 18:00:00,75,83,2,5,745,955,748,747,757,750,751,752,753,754,755,491,492,494,507,495,965,895,504,499,498,503
145,2015-09-26 18:00:00,87,71,3,2,487,607,485,604,603,489,475,608,488,483,986,662,663,665,664,961,668,669,667,679,671,675
146,2015-09-26 18:00:00,89,77,3,0,546,627,628,548,557,654,551,554,629,555,553,580,742,736,729,730,738,929,732,739,781,737
147,2015-09-26 18:00:00,81,79,2,2,527,938,530,529,534,533,532,535,536,541,656,785,926,821,788,798,801,791,792,793,789,794
148,2015-09-26 20:30:00,86,80,2,2,982,764,849,941,983,772,768,767,771,773,770,694,682,935,699,681,686,697,687,692,701,690
149,2015-09-27 19:00:00,90,78,0,1,564,565,581,566,577,569,572,571,582,573,574,509,525,933,512,513,517,516,514,520,518,743
150,2015-09-28 23:00:00,76,72,2,3,820,804,807,805,904,990,809,808,814,813,811,600,977,587,597,909,590,589,591,592,824,594
151,2015-10-03 15:45:00,78,76,2,0,509,525,512,933,513,514,633,516,522,743,518,820,804,807,806,904,809,808,990,814,813,811
152,2015-10-03 18:00:00,71,85,0,1,662,664,962,665,663,961,677,668,669,671,679,856,944,858,859,887,873,862,868,871,865,863
153,2015-10-03 18:00:00,73,90,1,1,455,456,458,828,459,461,460,462,466,465,882,564,565,566,581,579,577,571,572,569,574,573
154,2015-10-03 18:00:00,88,86,6,1,609,610,626,611,621,615,614,617,447,618,619,982,764,941,849,983,768,916,772,770,771,773
155,2015-10-03 18:00:00,79,75,1,2,785,926,788,821,789,792,791,801,800,793,794,745,746,747,748,749,753,751,752,757,754,755
156,2015-10-03 18:00:00,77,81,2,2,580,727,927,729,742,738,732,781,739,737,930,527,938,529,530,534,533,532,535,536,541,656
157,2015-10-03 20:30:00,80,74,1,3,694,682,699,917,681,686,936,700,692,701,696,846,847,833,834,835,842,836,883,838,840,841
158,2015-10-04 16:30:00,72,87,1,1,600,977,597,587,909,590,589,591,592,824,594,487,604,607,485,603,608,488,489,475,986,483
159,2015-10-04 19:00:00,84,82,2,2,706,707,709,708,710,723,769,713,714,715,717,637,638,639,640,660,643,645,644,646,648,647
160,2015-10-04 19:00:00,83,89,3,0,491,492,507,493,495,965,497,504,499,498,503,546,557,548,628,631,654,907,554,629,555,553
161,2015-10-17 15:45:00,82,87,0,0,637,638,640,639,641,645,642,644,646,648,647,487,603,485,607,608,475,604,489,486,488,484
162,2015-10-17 18:00:00,74,75,2,2,954,847,834,833,835,883,836,838,843,840,841,745,746,747,748,749,753,751,752,757,754,755
163,2015-10-17 18:00:00,76,77,1,0,820,804,807,806,904,810,808,809,814,813,811,580,727,736,729,742,732,738,740,931,737,930
164,2015-10-17 18:00:00,80,71,2,0,694,681,917,935,684,686,936,700,688,687,802,662,663,664,665,899,669,668,670,675,672,671
