id,datetime,h_id,a_id,h_goals,a_goals,h_poise,a_poise
81,2015-08-08 15:45:00,89,82,1,0,0,0
82,2015-08-08 18:00:00,73,71,0,1,0,0
83,2015-08-08 18:00:00,72,90,2,2,0,0
84,2015-08-08 18:00:00,75,77,4,2,0,0
85,2015-08-08 18:00:00,79,78,1,3,0,0
86,2015-08-08 20:30:00,80,84,2,2,0,0
87,2015-08-09 16:30:00,86,74,2,2,0,0
88,2015-08-09 16:30:00,83,81,0,2,0,0
89,2015-08-09 19:00:00,85,87,0,1,0,0
90,2015-08-10 23:00:00,76,88,0,3,0,0
91,2015-08-14 22:45:00,71,89,0,1,0,0
92,2015-08-15 15:45:00,74,72,0,3,0,0
93,2015-08-15 18:00:00,77,79,1,3,0,0
94,2015-08-15 18:00:00,84,86,2,0,0,0
95,2015-08-15 18:00:00,82,85,2,2,0,0
96,2015-08-15 18:00:00,90,76,0,0,0,0
97,2015-08-15 18:00:00,81,75,1,2,0,0
98,2015-08-16 16:30:00,78,83,1,2,0,0
99,2015-08-16 19:00:00,88,80,3,0,0,0
100,2015-08-17 23:00:00,87,73,1,0,0,0
101,2015-08-22 15:45:00,89,86,0,0,3.0,0.0
102,2015-08-22 18:00:00,79,85,1,1,0.0,1.0
103,2015-08-22 18:00:00,77,84,1,1,0.0,1.0
104,2015-08-22 18:00:00,78,71,2,1,0.0,3.0
105,2015-08-22 18:00:00,75,82,1,1,3.0,0.0
106,2015-08-22 18:00:00,81,73,3,4,0.0,0.0
107,2015-08-23 16:30:00,76,80,2,3,0.0,0.0
108,2015-08-23 19:00:00,72,88,0,2,1.0,3.0
109,2015-08-23 19:00:00,90,74,0,0,1.0,1.0
110,2015-08-24 23:00:00,83,87,0,0,0.0,3.0
111,2015-08-29 15:45:00,86,83,0,1,1.0,3.0
112,2015-08-29 18:00:00,85,76,0,1,0.0,1.0
113,2015-08-29 18:00:00,71,77,2,2,0.0,0.0
114,2015-08-29 18:00:00,73,75,1,1,0.0,3.0
115,2015-08-29 18:00:00,80,78,1,2,1.0,3.0
116,2015-08-29 18:00:00,87,81,0,3,3.0,3.0
117,2015-08-29 18:00:00,88,90,2,0,3.0,1.0
118,2015-08-29 20:30:00,82,72,0,0,1.0,3.0
119,2015-08-30 16:30:00,74,79,3,0,0.0,3.0
120,2015-08-30 19:00:00,84,89,2,1,3.0,3.0
121,2015-09-12 15:45:00,72,80,3,1,0.5,1.5
122,2015-09-12 18:00:00,83,85,2,0,0.5,1.0
123,2015-09-12 18:00:00,78,88,0,1,1.5,3.0
124,2015-09-12 18:00:00,90,84,1,0,1.0,1.0
125,2015-09-12 18:00:00,76,74,0,0,0.0,1.0
126,2015-09-12 18:00:00,79,73,3,1,0.5,1.5
127,2015-09-12 20:30:00,89,87,3,1,2.0,2.0
128,2015-09-13 16:30:00,77,82,0,1,0.5,0.5
129,2015-09-13 19:00:00,75,71,3,2,2.0,1.5
130,2015-09-14 23:00:00,81,86,2,0,0.0,0.5
131,2015-09-19 15:45:00,80,83,2,0,0.5,3.0
132,2015-09-19 18:00:00,86,90,1,2,0.5,0.5
133,2015-09-19 18:00:00,71,76,0,1,0.5,2.0
134,2015-09-19 18:00:00,73,77,2,0,0.5,0.5
135,2015-09-19 18:00:00,85,75,2,2,0.0,2.0
136,2015-09-19 18:00:00,84,72,0,0,3.0,2.0
137,2015-09-19 20:30:00,88,81,1,2,3.0,3.0
138,2015-09-20 16:30:00,82,78,1,0,1.0,3.0
139,2015-09-20 19:00:00,74,89,2,3,1.5,1.5
140,2015-09-20 19:00:00,87,79,1,1,1.5,1.5
141,2015-09-26 15:45:00,82,88,4,1,1.6666666666666667,3.0
142,2015-09-26 18:00:00,74,84,3,1,1.0,0.6666666666666666
143,2015-09-26 18:00:00,85,73,2,1,0.3333333333333333,1.0
144,2015-09-26 18:00:00,75,83,2,5,2.3333333333333335,2.0
145,2015-09-26 18:00:00,87,71,3,2,1.3333333333333333,1.0
146,2015-09-26 18:00:00,89,77,3,0,2.3333333333333335,0.3333333333333333
147,2015-09-26 18:00:00,81,79,2,2,1.0,1.3333333333333333
148,2015-09-26 20:30:00,86,80,2,2,0.3333333333333333,1.0
149,2015-09-27 19:00:00,90,78,0,1,1.6666666666666667,2.0
150,2015-09-28 23:00:00,76,72,2,3,0.3333333333333333,1.6666666666666667
151,2015-10-03 15:45:00,78,76,2,0,1.0,2.3333333333333335
152,2015-10-03 18:00:00,71,85,0,1,0.3333333333333333,0.6666666666666666
153,2015-10-03 18:00:00,73,90,1,1,1.3333333333333333,1.3333333333333333
154,2015-10-03 18:00:00,88,86,6,1,2.0,0.3333333333333333
155,2015-10-03 18:00:00,79,75,1,2,1.3333333333333333,1.6666666666666667
156,2015-10-03 18:00:00,77,81,2,2,0.3333333333333333,3.0
157,2015-10-03 20:30:00,80,74,1,3,1.3333333333333333,1.0
158,2015-10-04 16:30:00,72,87,1,1,1.3333333333333333,1.3333333333333333
159,2015-10-04 19:00:00,84,82,2,2,2.3333333333333335,1.3333333333333333
160,2015-10-04 19:00:00,83,89,3,0,1.3333333333333333,2.0
161,2015-10-17 15:45:00,82,87,0,0,2.0,1.25
162,2015-10-17 18:00:00,74,75,2,2,1.5,2.0
163,2015-10-17 18:00:00,76,77,1,0,0.25,0.25
164,2015-10-17 18:00:00,80,71,2,0,1.0,0.75
165,2015-10-17 18:00:00,78,81,1,3,1.5,2.5
166,2015-10-17 18:00:00,72,89,0,3,1.25,1.5
167,2015-10-17 18:00:00,88,73,5,1,2.25,0.75
168,2015-10-17 20:30:00,90,83,0,3,1.25,2.25
169,2015-10-18 19:00:00,86,79,6,2,0.5,1.25
170,2015-10-19 23:00:00,84,85,0,1,2.0,1.25
171,2015-10-24 18:00:00,71,84,1,2,0.25,0.5
172,2015-10-24 18:00:00,75,78,1,0,1.75,2.25
173,2015-10-24 18:00:00,81,80,2,1,1.0,1.0
174,2015-10-24 18:00:00,79,76,0,1,1.0,1.75
175,2015-10-24 18:00:00,85,90,0,2,1.0,1.25
176,2015-10-24 20:30:00,83,72,2,1,1.75,2.0
177,2015-10-25 16:00:00,77,86,3,0,0.5,0.25
178,2015-10-25 18:05:00,73,82,1,5,1.25,1.25
179,2015-10-25 18:05:00,89,88,0,0,2.5,2.25
180,2015-10-25 20:15:00,87,74,1,1,1.75,1.5
181,2015-10-31 16:45:00,80,87,1,3,1.4,1.2
182,2015-10-31 19:00:00,78,89,0,0,1.2,1.8
183,2015-10-31 19:00:00,88,79,2,1,2.4,1.0
184,2015-10-31 19:00:00,86,85,0,0,1.0,1.6
185,2015-10-31 19:00:00,84,83,0,3,1.6,2.4
186,2015-10-31 19:00:00,90,81,2,0,1.0,2.6
187,2015-10-31 19:00:00,76,75,2,3,0.8,1.8
188,2015-11-01 17:30:00,72,77,6,2,1.0,0.2
189,2015-11-01 20:00:00,74,73,2,0,1.4,0.6
190,2015-11-03 00:00:00,82,71,3,1,1.8,0.6
191,2015-11-07 16:45:00,73,86,0,1,1.0,0.2
192,2015-11-07 19:00:00,75,90,2,1,2.0,1.6
193,2015-11-07 19:00:00,89,76,2,0,2.2,2.0
194,2015-11-07 19:00:00,79,84,1,0,0.8,1.0
195,2015-11-07 19:00:00,81,72,1,1,1.4,1.6
196,2015-11-07 19:00:00,77,74,0,1,1.0,1.4
197,2015-11-07 21:30:00,85,80,1,0,0.8,0.8
198,2015-11-08 17:30:00,71,88,0,0,0.2,2.0
199,2015-11-08 20:00:00,83,82,1,1,2.0,1.6
200,2015-11-08 20:00:00,87,78,1,2,1.6,1.8
201,2015-11-21 16:45:00,90,89,1,2,1.4,1.4
202,2015-11-21 19:00:00,84,73,2,2,1.0,0.6
203,2015-11-21 19:00:00,74,85,0,1,2.0,1.6
204,2015-11-21 19:00:00,76,83,2,1,0.8,2.4
205,2015-11-21 19:00:00,86,75,0,3,1.0,1.8
206,2015-11-21 19:00:00,72,71,4,0,1.4,0.0
207,2015-11-21 19:00:00,80,79,1,0,1.2,0.4
208,2015-11-21 21:30:00,88,87,1,4,2.4,1.2
209,2015-11-22 20:00:00,82,81,4,1,2.2,2.0
210,2015-11-24 00:00:00,78,77,0,1,1.4,0.2
211,2015-11-28 19:00:00,77,85,2,0,1.0,2.0
212,2015-11-28 19:00:00,71,90,2,3,0.4,1.4
213,2015-11-28 19:00:00,73,72,3,3,1.0,1.2
214,2015-11-28 19:00:00,78,86,5,1,0.8,0.8
215,2015-11-28 19:00:00,88,74,3,1,1.8,1.8
216,2015-11-28 21:30:00,75,89,1,1,2.0,2.0
217,2015-11-29 16:00:00,82,80,0,0,2.6,0.8
218,2015-11-29 18:05:00,81,76,1,1,1.6,1.8
219,2015-11-29 20:15:00,87,84,1,0,1.0,0.8
220,2015-11-29 20:15:00,79,83,1,1,1.4,1.8
221,2015-12-05 16:45:00,85,88,2,0,1.4,1.6
222,2015-12-05 19:00:00,84,75,0,3,0.6,2.2
223,2015-12-05 19:00:00,90,79,2,0,1.2,0.4
224,2015-12-05 19:00:00,76,82,1,1,1.4,1.8
225,2015-12-05 19:00:00,83,77,3,1,2.2,0.6
226,2015-12-05 19:00:00,89,81,0,0,2.2,1.4
227,2015-12-05 19:00:00,74,71,1,1,1.4,0.0
228,2015-12-05 21:30:00,80,73,0,1,1.8,0.2
229,2015-12-06 20:00:00,86,87,2,0,1.0,1.6
230,2015-12-08 00:00:00,72,78,1,1,2.0,1.8
231,2015-12-12 16:45:00,79,72,1,1,1.4,1.2
232,2015-12-12 19:00:00,88,84,2,1,2.4,0.6
233,2015-12-12 19:00:00,77,90,0,1,1.4,2.0
234,2015-12-12 19:00:00,78,74,1,0,1.4,1.6
235,2015-12-12 19:00:00,81,85,0,0,1.8,2.0
236,2015-12-12 21:30:00,73,89,2,1,1.0,1.6
237,2015-12-13 17:30:00,71,83,0,2,0.2,2.0
238,2015-12-13 20:00:00,87,76,2,2,1.6,1.4
239,2015-12-13 20:00:00,82,86,1,2,2.2,0.6
240,2015-12-15 00:00:00,75,80,2,1,2.0,0.4
241,2015-12-19 19:00:00,76,73,1,2,1.4,0.8
242,2015-12-19 19:00:00,74,82,0,2,1.6,1.8
243,2015-12-19 19:00:00,85,78,1,2,2.0,1.4
244,2015-12-19 19:00:00,80,77,3,1,1.2,0.6
245,2015-12-19 19:00:00,72,75,2,3,1.6,2.6
246,2015-12-19 19:00:00,89,79,1,2,2.2,0.2
247,2015-12-19 21:30:00,86,71,1,1,1.6,0.2
248,2015-12-20 17:30:00,90,87,3,0,1.2,1.6
249,2015-12-20 20:00:00,84,81,0,0,0.4,1.0
250,2015-12-22 00:00:00,83,88,2,1,2.6,1.0
251,2015-12-26 16:45:00,85,89,2,0,1.8,1.6
252,2015-12-26 19:00:00,84,76,1,0,0.4,1.0
253,2015-12-26 19:00:00,82,79,3,0,1.6,0.6
254,2015-12-26 19:00:00,71,81,1,1,0.2,1.0
255,2015-12-26 19:00:00,73,78,0,0,1.0,2.0
256,2015-12-26 19:00:00,80,90,2,2,1.8,2.0
257,2015-12-26 19:00:00,87,75,1,0,1.6,2.6
258,2015-12-26 19:00:00,88,77,4,1,2.4,0.6
259,2015-12-26 21:30:00,86,72,0,1,1.6,1.2
260,2015-12-26 23:45:00,74,83,4,0,1.0,2.0
261,2015-12-28 19:00:00,76,86,1,0,1.4,1.2
262,2015-12-28 19:00:00,90,82,1,2,1.8,1.8
263,2015-12-28 19:00:00,79,71,2,0,1.0,0.4
264,2015-12-28 19:00:00,78,84,0,0,1.4,0.6
265,2015-12-28 19:00:00,72,85,3,4,1.4,1.6
266,2015-12-28 21:30:00,83,73,2,0,2.6,1.4
267,2015-12-28 21:30:00,89,80,0,0,1.6,0.4
268,2015-12-28 21:30:00,81,74,2,1,1.4,1.4
269,2015-12-29 23:45:00,75,88,0,0,2.0,0.4
270,2015-12-30 23:45:00,77,87,0,1,1.4,1.4
271,2016-01-02 16:45:00,81,87,2,0,1.8,1.8
272,2016-01-02 19:00:00,76,85,2,1,1.4,1.6
273,2016-01-02 19:00:00,83,86,1,0,2.6,1.2
274,2016-01-02 19:00:00,75,73,0,0,2.2,1.4
275,2016-01-02 19:00:00,89,84,2,1,1.2,0.8
