h_str,a_str,hth,h_poise,a_poise,result
80.6,78.9,0.0,0.0,0,WIN
72.3,75.5,0.0,0.0,0,LOSE
78.4,74.3,0.0,0.0,0,DRAW
73.3,75.9,0.0,0.0,0,WIN
72.7,75.5,0.0,0.0,0,LOSE
84.0,77.1,0.0,0.0,0,DRAW
76.0,74.8,0.0,0.0,0,DRAW
82.1,75.2,0.0,0.0,0,LOSE
75.8,76.9,0.0,0.0,0,LOSE
73.4,82.1,0.0,0.0,0,LOSE
75.5,80.9,0.0,0.0,0,LOSE
74.7,78.1,0.0,0.0,0,LOSE
76.0,73.4,0.0,0.0,0,LOSE
77.1,76.0,0.0,0.0,0,WIN
79.4,76.1,0.0,0.0,0,DRAW
74.1,74.2,0.0,0.0,0,DRAW
75.2,73.3,0.0,0.0,0,LOSE
76.2,82.5,0.0,0.0,0,LOSE
82.6,83.3,0.0,0.0,0,WIN
76.9,72.5,0.0,0.0,0,WIN
81.5,75.3,3.0,0.0,0,DRAW
73.4,76.7,0.0,1.0,0,DRAW
75.4,77.1,0.0,1.0,0,DRAW
75.9,74.8,0.0,3.0,0,WIN
73.3,79.1,3.0,0.0,0,DRAW
75.6,72.5,0.0,0.0,0,LOSE
74.1,83.5,0.0,0.0,0,LOSE
78.1,82.6,1.0,3.0,0,LOSE
74.4,74.2,1.0,1.0,0,DRAW
81.0,77.5,0.0,3.0,0,DRAW
76.5,81.3,1.0,3.0,0,LOSE
76.5,74.5,0.0,1.0,0,LOSE
75.2,75.8,0.0,0.0,0,DRAW
72.6,72.7,0.0,3.0,0,DRAW
83.3,76.0,1.0,3.0,0,LOSE
77.5,75.7,3.0,3.0,0,LOSE
82.6,75.0,3.0,1.0,0,WIN
78.7,78.5,1.0,3.0,0,DRAW
74.4,73.4,0.0,3.0,0,WIN
77.0,81.4,3.0,3.0,0,WIN
77.5,82.6,0.5,1.5,0,WIN
82.0,76.2,0.5,1.0,0,WIN
76.0,82.1,1.5,3.0,0,LOSE
74.0,77.0,1.0,1.0,0,WIN
74.5,74.9,0.0,1.0,0,DRAW
73.5,71.3,0.5,1.5,0,WIN
81.2,77.0,2.0,2.0,0,WIN
